id,title,seller_id,price,currency_id,initial_quantity,available_quantity,sold_quantity,condition,date_created,last_updated,start_time,stop_time
MLA923932470, Chromecast Google Tv 4k Voz 8gb Y 2gb Ram Original Pcreg,666749750,51599.14,ARS,594,200,250,new,2021-06-04T18:18:20.000Z,2023-08-05T02:50:44.000Z,2021-06-04T18:18:20.000Z,2041-05-30T04:00:00.000Z
MLA886507539,Google Chromecast Con Google Tv 4k + Control Remoto,309453406,79999.0,ARS,3140,1001,530,new,2020-11-02T20:02:16.000Z,2023-08-01T17:30:23.448Z,2020-11-02T20:02:15.000Z,2040-10-28T04:00:00.000Z
MLA1386212842,Chromecast 4ta Generación Google Tv Hd Blanco Control Remoto,335872135,42749.1,ARS,128,1,100,new,2023-04-03T14:31:08.000Z,2023-08-05T19:50:54.000Z,2023-04-03T14:31:07.000Z,2043-03-29T04:00:00.000Z
MLA1365631869,Chromecast 4 Google Tv Full Hd En Caja Con Cargador Original,126269313,37999.0,ARS,1273,100,500,new,2023-04-12T13:10:54.000Z,2023-08-06T02:36:16.000Z,2023-04-12T13:10:54.000Z,2043-04-07T04:00:00.000Z
MLA1377476479,Google Chromecast With Google Tv De Voz 4k 8gb Snow Con 2gb ,1398568409,50899.0,ARS,16,1,5,new,2023-07-17T01:34:40.000Z,2023-08-04T01:48:37.000Z,2023-07-17T01:34:40.000Z,2043-07-11T04:00:00.000Z
MLA1324463415,Chromecast Google Ga03131 Tv Hd 8gb Blanco Control !,61852079,50990.0,ARS,572,250,50,new,2023-01-28T15:18:34.000Z,2023-08-06T01:32:07.000Z,2023-01-28T15:18:34.000Z,2043-01-23T04:00:00.000Z
MLA1200256292, Chromecast With Google Tv  De Voz 4k 8gb Sky Blue 2gb Ram,541407353,56319.0,ARS,29,1,5,new,2022-10-18T21:23:44.000Z,2023-08-05T18:48:34.000Z,2022-10-18T21:23:44.000Z,2042-10-13T04:00:00.000Z
MLA1200733435, Chromecast With Google Tv  De Voz 4k 8gb Sky Blue 2gb Ram,541407353,81919.0,ARS,17,1,5,new,2022-10-18T21:25:55.000Z,2023-08-05T18:48:34.000Z,2022-10-18T21:25:55.000Z,2042-10-13T04:00:00.000Z
MLA1282971109,Chromecast 4 Smart Google Tv Hd Control Remoto De Voz Star+,701293922,59999.0,ARS,144,1,100,new,2022-12-15T17:21:13.000Z,2023-08-03T12:56:30.000Z,2022-12-15T17:21:12.000Z,2042-12-10T04:00:00.000Z
MLA1373410273,Google Chromecast Google Tv De Voz 4k 8gb 2gb Ram Horade,1134507620,152697.0,ARS,28,1,3,new,2023-06-14T19:08:35.000Z,2023-08-04T21:23:39.000Z,2023-06-14T19:08:34.000Z,2043-06-09T04:00:00.000Z
MLA1373397723,Google Chromecast Google Tv De Voz 4k 8gb 2gb Ram Evotech,187270707,152697.0,ARS,27,1,3,new,2023-06-14T19:00:10.000Z,2023-08-04T22:17:10.000Z,2023-06-14T19:00:10.000Z,2043-06-09T04:00:00.000Z
MLA1373419655,Google Chromecast Tv De Voz 4k 8gb 2gb Ram 6c Horade,1134507620,200967.0,ARS,24,1,1,new,2023-06-14T19:11:59.000Z,2023-08-04T21:23:36.000Z,2023-06-14T19:11:58.000Z,2043-06-09T04:00:00.000Z
MLA914385329,Chromecast With Google Tv Control Voz 4k 2gb Ram Hdmi Wifi,86898163,50999.0,ARS,1480,1,500,new,2021-04-01T20:32:53.000Z,2023-08-05T19:38:17.690Z,2021-04-01T20:32:53.000Z,2041-03-27T04:00:00.000Z
MLA1315360887,Google Chromecast 4 Full Hd Media Streaming Tv,284824585,79999.0,ARS,1060,500,50,new,2023-01-18T18:12:42.000Z,2023-08-03T13:02:46.000Z,2023-01-18T18:12:41.000Z,2043-01-13T04:00:00.000Z
MLA1343987671,Chromecast Google Tv Hd Voz 8gb Y 2gb Ram Original Pcreg,666749750,38949.05,ARS,605,200,250,new,2023-02-11T17:01:47.000Z,2023-08-05T21:03:21.000Z,2023-02-11T17:01:47.000Z,2043-02-06T04:00:00.000Z
MLA1163099636,Roku Premiere 3920 - Negro - Estándar,619224820,29990.0,ARS,178,1,150,new,2022-09-05T13:13:28.000Z,2023-08-05T11:30:09.000Z,2022-09-05T13:13:27.000Z,2042-08-31T04:00:00.000Z
MLA1365007251,Roku Express 3960 Estándar Full Hd Negro,567813379,27700.0,ARS,303,1,250,new,2023-04-06T17:04:50.000Z,2023-08-05T22:15:34.000Z,2023-04-06T17:04:50.000Z,2043-04-01T04:00:00.000Z
MLA1373136974,Roku Express 3930 Estándar Hd 32mb Negro Con 512mb De Memoria Ram,1002842391,27999.0,ARS,310,50,200,new,2023-03-16T13:15:09.000Z,2023-08-06T02:09:08.000Z,2023-03-16T13:15:09.000Z,2043-03-11T04:00:00.000Z
MLA1375270869,Roku Le 3930s4 Estándar Full Hd 32mb Negro Y Violeta,1002842391,27999.0,ARS,153,50,50,new,2023-06-30T14:26:33.000Z,2023-08-05T23:36:13.000Z,2023-06-30T14:26:33.000Z,2043-06-25T04:00:00.000Z
MLA1373506827,Roku Premiere 3920 Standar 4k & Hdr & Full Hd 1080p C/ Control Remoto Y Hdmi Premium De Alta Velocidad Color Blanco,1386941221,45999.0,ARS,1,1,0,new,2023-06-15T20:29:44.000Z,2023-08-03T00:41:41.000Z,2023-06-15T20:29:44.000Z,2043-06-10T04:00:00.000Z
MLA1448046218,Roku Express 4k 3940 Estándar 4k Negro Con 1gb De Memoria Ram,199764973,43309.0,ARS,39,1,1,new,2023-07-12T15:26:15.000Z,2023-08-04T03:06:38.000Z,2023-07-12T15:26:14.000Z,2043-07-07T04:00:00.000Z
MLA1404677644,Roku Streaming Stick 4k | Dispositivo De Streaming 4k/hdr/dolby Vision Con Control Remoto Con Controles De Tv,284824585,49999.0,ARS,1048,500,25,new,2023-04-26T12:52:36.000Z,2023-08-03T18:12:43.000Z,2023-04-26T12:52:36.000Z,2043-04-21T04:00:00.000Z
MLA911917106,Nuevo Roku Se Smart Tv Hdmi Netflix Streaming Remoto Disney+,9198894,36499.0,ARS,470,1,250,new,2021-03-15T12:50:06.000Z,2023-08-04T19:06:34.000Z,2021-03-15T12:50:05.000Z,2041-03-10T04:00:00.000Z
MLA1458150492,Roku Le 3930s3 Estándar Hd Blanco Y Negro,321843907,34999.0,ARS,115,100,2,new,2023-07-24T23:11:37.000Z,2023-08-03T22:58:31.000Z,2023-07-24T23:11:37.000Z,2043-07-19T04:00:00.000Z
MLA1259044377,Roku Ultra 4660 Control De Voz 4k Negro Con 1gb De Memoria Ram,284824585,59999.0,ARS,1023,500,5,new,2022-11-25T13:27:36.000Z,2023-08-03T22:12:10.680Z,2022-11-25T13:27:35.000Z,2042-11-20T04:00:00.000Z
MLA1145733587,Roku Premiere 3920 4k Standard Full Hd,413658225,33238.0,ARS,182,1,150,new,2022-07-06T20:41:16.000Z,2023-08-05T21:11:29.359Z,2022-07-06T20:41:16.000Z,2042-07-01T04:00:00.000Z
MLA1366869301,Roku Premiere 3920rw 4k Hdr Streaming Youtube Netflix Disney,579983671,27299.0,ARS,35,1,25,new,2023-04-21T17:53:38.000Z,2023-08-05T23:27:08.000Z,2023-04-21T17:53:38.000Z,2043-04-16T04:00:00.000Z
